sequence,transport_type,fsw_timestamp_sec,arrival_timestamp_sec,latency_ms
257,EVT,1770934429.260324,1770934430.3007047,1040.3807163238525
258,EVT,1770934430.259555,1770934431.3079984,1048.44331741333
259,EVT,1770934431.259461,1770934432.3152907,1055.8297634124756
260,EVT,1770934432.259471,1770934433.3223517,1062.8807544708252
261,EVT,1770934433.259555,1770934434.3293552,1069.8001384735107
262,EVT,1770934434.25953,1770934435.3362288,1076.6987800598145
263,EVT,1770934435.25965,1770934436.3436067,1083.9567184448242
264,EVT,1770934436.260073,1770934437.3508065,1090.733528137207
265,EVT,1770934437.259491,1770934438.3583715,1098.8805294036865
266,EVT,1770934438.260364,1770934439.365503,1105.1390171051025
267,EVT,1770934439.260209,1770934440.3733127,1113.1036281585693
268,EVT,1770934440.261244,1770934441.2800322,1018.7880992889404
269,EVT,1770934441.259432,1770934442.2872343,1027.8022289276123
270,EVT,1770934442.25949,1770934443.2944417,1034.9516868591309
271,EVT,1770934443.259463,1770934444.3017316,1042.2685146331787
272,EVT,1770934444.259748,1770934445.3087442,1048.9962100982666
273,EVT,1770934445.259586,1770934446.316157,1056.5710067749023
274,EVT,1770934446.259458,1770934447.3242314,1064.7733211517334
275,EVT,1770934447.259831,1770934448.3319576,1072.1266269683838
276,EVT,1770934448.259785,1770934449.3394275,1079.6425342559814
277,EVT,1770934449.259523,1770934450.3463774,1086.8544578552246
278,EVT,1770934450.259671,1770934451.3535504,1093.8794612884521
279,EVT,1770934451.259474,1770934452.3608246,1101.3505458831787
280,EVT,1770934452.259635,1770934453.3681476,1108.5126399993896
281,EVT,1770934453.259882,1770934454.2776635,1017.7814960479736
282,EVT,1770934454.25951,1770934455.2868457,1027.3356437683105
283,EVT,1770934455.259918,1770934456.2942982,1034.3801975250244
284,EVT,1770934456.260234,1770934457.3019123,1041.6781902313232
285,EVT,1770934457.259676,1770934458.3099806,1050.304651260376
286,EVT,1770934458.260046,1770934459.3171833,1057.1372509002686
287,EVT,1770934459.259679,1770934460.32414,1064.4609928131104
288,EVT,1770934460.259464,1770934461.3316073,1072.143316268921
289,EVT,1770934461.259597,1770934462.3394616,1079.864501953125
290,EVT,1770934462.259524,1770934463.3470461,1087.522029876709
291,EVT,1770934463.260226,1770934464.3545902,1094.3641662597656
