sequence,transport_type,fsw_timestamp_sec,arrival_timestamp_sec,latency_ms
81,TLM,1770933410.557792,1770933411.6018183,1044.0263748168945
82,TLM,1770933411.557068,1770933412.6093495,1052.281379699707
83,TLM,1770933412.556882,1770933413.6169233,1060.0414276123047
84,TLM,1770933413.557022,1770933414.6247253,1067.7032470703125
85,TLM,1770933414.558955,1770933415.6324198,1073.4648704528809
86,TLM,1770933415.557929,1770933416.6398299,1081.9008350372314
87,TLM,1770933416.556903,1770933417.647164,1090.2612209320068
88,TLM,1770933417.557872,1770933418.654698,1096.8258380889893
89,TLM,1770933418.557004,1770933419.662806,1105.802059173584
90,TLM,1770933419.557207,1770933420.6698906,1112.6835346221924
91,TLM,1770933420.557253,1770933421.576611,1019.3581581115723
92,TLM,1770933421.557127,1770933422.5844805,1027.3535251617432
93,TLM,1770933422.557016,1770933423.5923696,1035.353660583496
94,TLM,1770933423.557083,1770933424.6003587,1043.2758331298828
95,TLM,1770933424.556876,1770933425.6087358,1051.8598556518555
96,TLM,1770933425.55686,1770933426.6162212,1059.361219406128
97,TLM,1770933426.557216,1770933427.6236155,1066.3995742797852
98,TLM,1770933427.557076,1770933428.630929,1073.8530158996582
99,TLM,1770933428.556914,1770933429.6390162,1082.1020603179932
100,TLM,1770933429.556959,1770933430.6466033,1089.644432067871
101,TLM,1770933430.556948,1770933431.6541839,1097.235918045044
102,TLM,1770933431.557277,1770933432.6617706,1104.4936180114746
103,TLM,1770933432.556955,1770933433.6688612,1111.9060516357422
104,TLM,1770933433.557632,1770933434.6763563,1118.7243461608887
105,TLM,1770933434.558667,1770933435.5835268,1024.85990524292
106,TLM,1770933435.557966,1770933436.59083,1032.8640937805176
107,TLM,1770933436.55688,1770933437.5978227,1040.942668914795
108,TLM,1770933437.557401,1770933438.6047475,1047.346591949463
109,TLM,1770933438.557799,1770933439.6119792,1054.1801452636719
110,TLM,1770933439.556993,1770933440.6194282,1062.4351501464844
111,TLM,1770933440.557635,1770933441.6270103,1069.3752765655518
112,TLM,1770933441.557354,1770933442.6345475,1077.1934986114502
113,TLM,1770933442.556962,1770933443.642271,1085.3090286254883
114,TLM,1770933443.556926,1770933444.6497798,1092.8537845611572
115,TLM,1770933444.555218,1770933445.6571195,1101.9015312194824
